"variable","income","year","value","foodGroup"
"other fruit","$75,000 or higher","2013-2014",4.48,"Fruit"
"other red and orange","$75,000 or higher","2013-2014",0.56,"Green and Red Vegetable"
"other starchy","$75,000 or higher","2013-2014",0.32,"Starchy Vegetable"
"potatoes","$75,000 or higher","2013-2014",1.68,"Starchy Vegetable"
"poultry","$75,000 or higher","2013-2014",1.16,"Meat, Paultry, and Seafood"
"refined grains","$75,000 or higher","2013-2014",6.19,"Grain"
"seafood high n3","$75,000 or higher","2013-2014",0.03,"Meat, Paultry, and Seafood"
"seafood low n3","$75,000 or higher","2013-2014",0.15,"Meat, Paultry, and Seafood"
"solid fats","$75,000 or higher","2013-2014",1.2240078,"Oil, Fat, and Sugar"
"soybean products","$75,000 or higher","2013-2014",0.04,"Egg, Nuts, and Soybean"
"tomatoes","$75,000 or higher","2013-2014",1.6,"Green and Red Vegetable"
"whole grains","$75,000 or higher","2013-2014",0.98,"Grain"
"yoghurt","$75,000 or higher","2013-2014",0.96,"Dairy"
"added sugars","all individuals","2013-2014",2.84167235,"Oil, Fat, and Sugar"
"cheese","all individuals","2013-2014",6.88,"Dairy"
"citrus, melons, berries","all individuals","2013-2014",1.6,"Fruit"
"cured meat","all individuals","2013-2014",0.76,"Meat, Paultry, and Seafood"
"dark green","all individuals","2013-2014",0.4,"Green and Red Vegetable"
"eggs","all individuals","2013-2014",0.34,"Egg, Nuts, and Soybean"
"fluid milk","all individuals","2013-2014",10.4,"Dairy"
"fruit juice","all individuals","2013-2014",2.96,"Fruit"
"meat","all individuals","2013-2014",0.99,"Meat, Paultry, and Seafood"
"nuts and seeds","all individuals","2013-2014",0.32,"Egg, Nuts, and Soybean"
"oil","all individuals","2013-2014",0.6860793,"Oil, Fat, and Sugar"
"organ meat","all individuals","2013-2014",0.015,"Meat, Paultry, and Seafood"
"other","all individuals","2013-2014",1.76,"Green and Red Vegetable"
"other fruit","all individuals","2013-2014",3.6,"Fruit"
"other red and orange","all individuals","2013-2014",0.48,"Green and Red Vegetable"
"other starchy","all individuals","2013-2014",0.4,"Starchy Vegetable"
"potatoes","all individuals","2013-2014",2.08,"Starchy Vegetable"
"poultry","all individuals","2013-2014",1.11,"Meat, Paultry, and Seafood"
"refined grains","all individuals","2013-2014",6.24,"Grain"
"seafood high n3","all individuals","2013-2014",0.04,"Meat, Paultry, and Seafood"
"seafood low n3","all individuals","2013-2014",0.19,"Meat, Paultry, and Seafood"
"solid fats","all individuals","2013-2014",1.24129206,"Oil, Fat, and Sugar"
"soybean products","all individuals","2013-2014",0.05,"Egg, Nuts, and Soybean"
"tomatoes","all individuals","2013-2014",1.68,"Green and Red Vegetable"
"whole grains","all individuals","2013-2014",0.84,"Grain"
"yoghurt","all individuals","2013-2014",0.64,"Dairy"
"citrus, melons, berries","$0-$24,999","2015-2016",1.28,"Fruit"
"fruit juice","$0-$24,999","2015-2016",3.44,"Fruit"
"other fruit","$0-$24,999","2015-2016",3.12,"Fruit"
"citrus, melons, berries","$25,000-$74,999","2015-2016",1.12,"Fruit"
"fruit juice","$25,000-$74,999","2015-2016",2.4,"Fruit"
"other fruit","$25,000-$74,999","2015-2016",3.52,"Fruit"
"citrus, melons, berries","$75,000 or higher","2015-2016",1.92,"Fruit"
"fruit juice","$75,000 or higher","2015-2016",2.32,"Fruit"
"other fruit","$75,000 or higher","2015-2016",3.52,"Fruit"
"citrus, melons, berries","all individuals","2015-2016",1.52,"Fruit"
"fruit juice","all individuals","2015-2016",2.32,"Fruit"
"other fruit","all individuals","2015-2016",3.52,"Fruit"
